Adamowa Kjarcma	PLACE_51.59871,14.59085
Adlig Dubrau	PLACE_51.72769,14.5347
Albertininy Ług	PLACE_51.86814,14.63102
Allmoſen	PLACE_51.58138,14.09392
Alt Schadow	PLACE_52.12175,13.94993
Alt-Döbern	PLACE_51.65,14.03333
Alt-Golssen	PLACE_51.97061,13.56303
Alt-Zauche	PLACE_51.91679,14.01494
Altnow	PLACE_51.86118,13.81458
Amandusowa Wjaska	PLACE_51.67444,13.8915
Amt Bórkowy	PLACE_51.8333,14.15
Amt Derbno-Kraj	PLACE_51.6167,14.6
Amt Dolne Błota	PLACE_52.08771,13.88539
Amt Luboraz/Górne Błota	PLACE_51.9833,14.3
Amt Lubuš	PLACE_
Amt Nowa Cala	PLACE_
Amt Picnjo	PLACE_51.85682,14.41493
Amt Pleso	PLACE_
Amt Rolany	PLACE_
Amt Sliwin	PLACE_
Amt Stara Darbnja	PLACE_51.65,14.0333
Amt Žłobiny Doł	PLACE_
Anhaltska Kolonija	PLACE_51.58569,13.99774
Aniny Dwór	PLACE_51.71966,14.27746
Babe	PLACE_51.79268,14.14094
Baben	PLACE_51.71255,13.78557
Babin	PLACE_51.71255,13.78557
Babinaŕ	PLACE_51.71255,13.78557
Babinaŕka	PLACE_51.71255,13.78557
Babowy Nugeł	PLACE_51.68859,14.23400
Bad Liebenwerda	PLACE_51.489,13.3901
Bad Schandau	PLACE_
Bademeusel	PLACE_51.69448,14.70932
Bademäuſel	PLACE_51.69448,14.70932
Bageńc	PLACE_51.64476,14.43318
Bageńcaŕ	PLACE_51.64476,14.43318
Bageńcaŕka	PLACE_51.64476,14.43318
Bageṅz	PLACE_51.64476,14.43318
Bahren	PLACE_51.70617,13.69637
Bahrendorf	PLACE_52.16329,14.253
Barack	PLACE_51.81667,13.93333
Barak	PLACE_51.81667,13.93333
Baran	PLACE_51.63741,14.74949
Baranojce	PLACE_51.77297,13.69344
Barań	PLACE_51.63741,14.74949
Barbuk	PLACE_51.81188,14.47479
Barbukaŕ	PLACE_51.81188,14.47479
Barbukaŕka	PLACE_51.81188,14.47479
Barcanaŕ	PLACE_51.59827,13.94363
Barcanaŕka	PLACE_51.59827,13.94363
Barce	PLACE_51.59827,13.94363
Barcow	PLACE_52.25662,13.93337
Barklawa	PLACE_51.93826,14.56667
Barklawaŕ	PLACE_51.93826,14.56667
Barklawaŕka	PLACE_51.93826,14.56667
Barow	PLACE_52.05558,14.56048
Barschcż	PLACE_51.73544,14.63971
Barze	PLACE_51.59827,13.94363
Baršć	PLACE_51.73544,14.63971
Baršć (Łužyca)	PLACE_51.7302,14.598
Baršćanaŕ	PLACE_51.73544,14.63971
Baršćanaŕka	PLACE_51.73544,14.63971
Bate	PLACE_51.78718,13.88079
Bathe	PLACE_51.78718,13.88079
Batowk	PLACE_51.78718,13.88079
Batowkaŕ	PLACE_51.78718,13.88079
Batowkaŕka	PLACE_51.78718,13.88079
Baworski Žarnow	PLACE_51.56797,13.67029
Bele	PLACE_51.60969,14.38146
Bendow	PLACE_52.28415,13.7431
Berklau	PLACE_51.93826,14.56667
Berklawa	PLACE_51.93826,14.56667
Berklȧwa	PLACE_51.93826,14.56667
Bertna	PLACE_51.68638,13.72405
Bertno	PLACE_51.68638,13.72405
Beršć	PLACE_51.73544,14.63971
Beskow	PLACE_52.17291,14.24597
Bezdow	PLACE_
Bezdowy	PLACE_
Bezkow	PLACE_52.1593,14.2411
Bibersdorf	PLACE_51.98472,13.9741
Biela	PLACE_
Bilegure	PLACE_51.87926,14.17448
Bischkupizy	PLACE_
Bischofwerda	PLACE_
Biskopicy	PLACE_
Biskupicaŕ	PLACE_
Biskupicaŕka	PLACE_
Biskupice	PLACE_
Biskupicy	PLACE_
Biškupice	PLACE_
Biſchdorf	PLACE_51.79887,13.96985
Biſchofswerda	PLACE_
Bjedrichojce	PLACE_51.5641,13.54402
Bjezdowaŕ	PLACE_
Bjezdowaŕka	PLACE_
Bjezdowy	PLACE_
Bjezdoły	PLACE_
Bliskendorf	PLACE_51.72865,13.97044
Bloboschojze	PLACE_51.59001,14.47771
Bloiſchdorf	PLACE_51.59001,14.47771
Blunau	PLACE_
Blunjanaŕ	PLACE_
Blunjanaŕka	PLACE_
Bluń	PLACE_
Bluṅ	PLACE_
Blücherowy Wudwór	PLACE_51.85,14.46667
Bobolcaŕ	PLACE_51.84059,13.98274
Bobolcaŕka	PLACE_51.84059,13.98274
Bobolce	PLACE_51.84059,13.98274
Bobolice	PLACE_51.84059,13.98274
Bobolize	PLACE_51.84059,13.98274
Boboschojze	PLACE_51.57966,14.1115
Bobow	PLACE_51.79268,14.14094
Bobowaŕ	PLACE_51.79268,14.14094
Bobowaŕka	PLACE_51.79268,14.14094
Bobošojce	PLACE_51.57966,14.1115
Bohre	PLACE_51.7835,14.59183
Bolſchwitz	PLACE_51.74852,14.02932
Bolȧschojze	PLACE_51.74852,14.02932
Borau	PLACE_51.7835,14.59183
Borkowy	PLACE_51.83448,14.14856
Boroj	PLACE_51.7835,14.59183
Borow	PLACE_51.7835,14.59183
Bory	PLACE_51.7835,14.59183
Boryṅ	PLACE_51.70617,13.69637
Boršć	PLACE_51.73544,14.63971
Boschaz	PLACE_51.85,13.88333
Boschojze	PLACE_51.62183,14.53763
Bowschojze	PLACE_51.57966,14.1115
Bowšojce	PLACE_51.57966,14.1115
Bošojce	PLACE_51.62183,14.53763
Bożemyssle	PLACE_51.69448,14.70932
Boſchwitz	PLACE_51.85,13.88333
Brachenau	PLACE_
Brahmo	PLACE_51.7992,14.17043
Brama	PLACE_51.7992,14.17043
Bramaŕ	PLACE_51.7992,14.17043
Bramaŕka	PLACE_51.7992,14.17043
Bramborgaŕ	PLACE_53,14
Bramborgaŕka	PLACE_53,14
Bramborska	PLACE_52.45905,13.01582
Brandenburg	PLACE_52.41667,12.55
Brandenburg nad Habolu	PLACE_52.40528,12.51389
Brandtowy Młyn	PLACE_51.77521,14.06382
Branibor	PLACE_52.41667,12.55
Branibor nad Habolu	PLACE_52.40528,12.51389
Braniboŕ	PLACE_52.41667,12.55
Bresinchen	PLACE_51.79869,13.81165
Breslak	PLACE_52.03444,14.72469
Bretna	PLACE_51.68638,13.72405
Bretſchen	PLACE_51.64738,14.65864
Breſinchen	PLACE_51.66275,14.40081
Briesnigk	PLACE_51.80121,14.59997
Briesnik	PLACE_51.80121,14.59997
Brieſen	PLACE_51.81554,14.2442
Brigittenhof	PLACE_51.53085,14.30852
Brilȧnd	PLACE_52.10493,14.26399
Briwałd	PLACE_51.96449,13.74456
Briwałdaŕ	PLACE_51.96449,13.74456
Briwałdaŕka	PLACE_51.96449,13.74456
Brjazaŕ	PLACE_51.73387,14.1131
Brjazaŕka	PLACE_51.73387,14.1131
Brjaze	PLACE_51.73387,14.1131
Brjazka	PLACE_51.98329,14.34177
Brjazkaŕ	PLACE_51.5062,13.96912
Brjazkaŕka	PLACE_51.5062,13.96912
Brjazki	PLACE_51.5062,13.96912
Brjazki Pódzajtšo	PLACE_51.50071,13.96809
Brjazki Wjas	PLACE_51.49124,13.95018
Brjazowc	PLACE_52.11735,13.81604
Brjazowy Ług	PLACE_52.31393,13.96357
Brjazyn	PLACE_51.81554,14.2442
Brjazyna	PLACE_52.11293,14.38074
Brjazyna (nad jazorom)	PLACE_51.95604,14.00471
Brjazyna n.j.	PLACE_51.95604,14.00471
Brjazyna nad Jazorom	PLACE_51.95604,14.00471
Brjazynaŕ	PLACE_52.11293,14.38074
Brjazynaŕka	PLACE_52.11293,14.38074
Brjazynka	PLACE_51.79869,13.81165
Brjazynkaŕ	PLACE_52.00032,14.69682
Brjazynkaŕka	PLACE_52.00032,14.69682
Brjašćany	PLACE_51.64738,14.65864
Brodkojcaŕ	PLACE_51.71254,14.14176
Brodkojcaŕka	PLACE_51.71254,14.14176
Brodkojce	PLACE_51.71254,14.14176
Brodkojze	PLACE_51.71254,14.14176
Brodkowitz	PLACE_51.71254,14.14176
Bromke	PLACE_51.66667,13.91667
Bronice	PLACE_51.7023,13.60071
Bronkow	PLACE_51.6667,13.9167
Bronkowaŕ	PLACE_51.66667,13.91667
Bronkowaŕka	PLACE_51.66667,13.91667
Bronkowy	PLACE_51.66667,13.91667
Brotkowitz	PLACE_51.71254,14.14176
Brunojce	PLACE_52.36191,13.95523
Brunschwig	PLACE_51.76722,14.3318
Brunschwik	PLACE_51.76722,14.3318
Brunschyk	PLACE_51.76722,14.3318
Brunšwig	PLACE_51.76722,14.3318
Brunšwik	PLACE_51.76722,14.3318
Brunſchwik	PLACE_51.76722,14.3318
Bryland	PLACE_52.0943,14.3104
Brěmjow	PLACE_52.13807,14.48985
Brěst	PLACE_52.10808,14.11677
Brětnja	PLACE_
Brětnja/Michałki	PLACE_
Brětńa	PLACE_51.68638,13.72405
Brězk	PLACE_51.5062,13.96912
Brězowka	PLACE_
Brězowkaŕ	PLACE_
Brězowkaŕka	PLACE_
Brězynka	PLACE_
Brȧsanki	PLACE_51.66275,14.40081
Brȧse	PLACE_51.73387,14.1131
Brȧski	PLACE_51.5062,13.96912
Brȧsyna	PLACE_51.81554,14.2442
Brȧsynka	PLACE_51.66275,14.40081
Buchansdorf	PLACE_51.85039,13.74705
Buchholz	PLACE_52.10961,13.76536
Buchojc	PLACE_51.85219,13.91595
Buchojcanaŕ	PLACE_51.85219,13.91595
Buchojcanaŕka	PLACE_51.85219,13.91595
Buchojz	PLACE_51.85219,13.91595
Buchow	PLACE_51.85003,13.90305
Buchowaŕ	PLACE_51.85003,13.90305
Buchowaŕka	PLACE_51.85003,13.90305
Buckowien	PLACE_51.64529,13.38984
Bucyn	PLACE_51.93428,14.16804
Bucyna	PLACE_51.93428,14.16804
Bucynaŕ	PLACE_51.93428,14.16804
Bucynaŕka	PLACE_51.93428,14.16804
Budissin	PLACE_
Budy	PLACE_51.74576,14.29214
Budyschyn	PLACE_
Budyšin	PLACE_
Budyšyn	PLACE_
Budyšynaŕ	PLACE_
Budyšynaŕka	PLACE_
Buk	PLACE_52.19341,13.91961
Bukanojce	PLACE_51.85039,13.74705
Bukoiz	PLACE_51.6275,14.32346
Bukojc	PLACE_51.6275,14.32346
Bukojca	PLACE_51.91566,13.97496
Bukojna	PLACE_51.67042,14.05083
Bukojnaŕ	PLACE_51.67042,14.05083
Bukojnaŕka	PLACE_51.67042,14.05083
Bukow	PLACE_51.4333,14
Bukowaŕ	PLACE_51.61025,14.33437
Bukowaŕka	PLACE_51.61025,14.33437
Bukowc	PLACE_
