Choſchebuſ	PLACE_51.75753,14.32343
Hamburg	PLACE_53.5672881,9.941726150411604
London	PLACE_51.5073359,-0.12765
Jeruzalem	PLACE_31.7788242,35.2257626
Jeruſalem	PLACE_31.7788242,35.2257626
Konſtantinopel	PLACE_41.0091982,28.9662187
Berlin	PLACE_52.5170365,13.3888599
Nürnberg	PLACE_49.453872,11.077298
Duisburg	PLACE_51.434999,6.759562
Magdeburg	PLACE_52.1315889,11.6399609
Staßfurt	PLACE_51.8514515,11.5929455
Stuttgart	PLACE_48.7784485,9.1800132
Trier	PLACE_49.7596208,6.6441878
Warſchaw	PLACE_52.2337172,21.071432235636493
Lübeck	PLACE_53.866444,10.684738
Lübec	PLACE_53.866444,10.684738
Kunzendorf	PLACE_49.7945531,16.6276322
Frankford	PLACE_52.34714,14.55062
Hoyerswerda	PLACE_51.4333103,14.250083
Leipzig	PLACE_51.3406321,12.3747329
Dresden	PLACE_51.0493286,13.7381437
Budysin	PLACE_51.1813907,14.4275735
