"Vorname einzeln","Anzahl","Geschlecht"
"Emil",13,"m"
"Anton",11,"m"
"Paul",10,"m"
"Finn",9,"m"
"Richard",9,"m"
"Felix",8,"m"
"Jakob",8,"m"
"Karl",8,"m"
"Elias",7,"m"
"Johann",7,"m"
"Maximilian",7,"m"
"Oskar",7,"m"
"Raphael",7,"m"
"Tim",7,"m"
"Alexander",6,"m"
"Arthur",6,"m"
"Jonas",6,"m"
"Justus",6,"m"
"Noah",6,"m"
"Carl",5,"m"
"Florian",5,"m"
"Konstantin",5,"m"
"Leopold",5,"m"
"Max",5,"m"
"Milo",5,"m"
"Niklas",5,"m"
"Samuel",5,"m"
"Aaron",4,"m"
"Benjamin",4,"m"
"Fabian",4,"m"
"Gustav",4,"m"
"Hans",4,"m"
"Jannik",4,"m"
"Julius",4,"m"
"Konrad",4,"m"
"Lukas",4,"m"
"Nils",4,"m"
"Ruben",4,"m"
"Theo",4,"m"
"Tom",4,"m"
"Vincent",4,"m"
"Adrian",3,"m"
"Alwin",3,"m"
"Arvid",3,"m"
"Ben",3,"m"
"Bruno",3,"m"
"Christian",3,"m"
"David",3,"m"
"Emilio",3,"m"
"Franz",3,"m"
"Frederik",3,"m"
"Friedrich",3,"m"
"Jan",3,"m"
"Joel",3,"m"
"Leo",3,"m"
"Leon",3,"m"
"Levi",3,"m"
"Liam",3,"m"
"Linus",3,"m"
"Luca",3,"m"
"Luis",3,"m"
"Malte",3,"m"
"Mateo",3,"m"
"Mika",3,"m"
"Moritz",3,"m"
"Ole",3,"m"
"Philipp",3,"m"
"Willi",3,"m"
"Aarav",0,"m"
"Adam",0,"m"
"Aik",0,"m"
"Alan",0,"m"
"Albert",0,"m"
"Alexandros",0,"m"
"Alfred",0,"m"
"Alois",0,"m"
"Amadeus",0,"m"
"Amar",0,"m"
"Antonio",0,"m"
"Apolo",0,"m"
"Arne",0,"m"
"Arno",0,"m"
"Aron",0,"m"
"Artur",0,"m"
"Arun",0,"m"
"Arved",0,"m"
"Arwed",0,"m"
"Ayk",0,"m"
"Balthasar",0,"m"
"Bastian",0,"m"
"Bela",0,"m"
"Béla",0,"m"
"Benedikt",0,"m"
"Benn",0,"m"
"Bennet",0,"m"
"Bjarne",0,"m"
"Bobby",0,"m"
"Carlson",0,"m"
"Carsten",0,"m"
"Caspar",0,"m"
"Cedric",0,"m"
"Charlie",0,"m"
"Chris",0,"m"
"Chuquan",0,"m"
"Conner",0,"m"
"Constantin",0,"m"
"Damon",0,"m"
"Daniel",0,"m"
"Dante",0,"m"
"Darius",0,"m"
"Dave",0,"m"
"Dean",0,"m"
"Devid",0,"m"
"Domenik",0,"m"
"Dominic",0,"m"
"Dominik",0,"m"
"Dylan",0,"m"
"Eddie",0,"m"
"Edgar",0,"m"
"Eduard",0,"m"
"Eliah",0,"m"
"Elijah",0,"m"
"Emiel",0,"m"
"Emilian",0,"m"
"Enno",0,"m"
"Erik",0,"m"
"Esbjörn",0,"m"
"Etienne",0,"m"
"Eyad",0,"m"
"Ferdinand",0,"m"
"Fiete",0,"m"
"Fintan",0,"m"
"Florin",0,"m"
"Frederick",0,"m"
"Friedemann",0,"m"
"Fritz",0,"m"
"Gasi",0,"m"
"Georg",0,"m"
"George",0,"m"
"Giaime",0,"m"
"Gregor",0,"m"
"Hankan",0,"m"
"Hannes",0,"m"
"Hayato",0,"m"
"Hector",0,"m"
"Heinrich",0,"m"
"Hendrik",0,"m"
"Hennes",0,"m"
"Henri",0,"m"
"Henrik",0,"m"
"Henry",0,"m"
"Hermann",0,"m"
"Hobeom",0,"m"
"Hoon",0,"m"
"Hugo",0,"m"
"Ian",0,"m"
"Ideal",0,"m"
"Ilari",0,"m"
"Ilya",0,"m"
"Immanuel",0,"m"
"Iron",0,"m"
"Israel Oreofe",0,"m"
"Iwo",0,"m"
"Jack",0,"m"
"Jacob",0,"m"
"Janne",0,"m"
"Jannes",0,"m"
"Janosch",0,"m"
"Janosh",0,"m"
"Jarik",0,"m"
"Jayden",0,"m"
"Jenke",0,"m"
"Jimi",0,"m"
"Joe",0,"m"
"Johannes",0,"m"
"Joko",0,"m"
"Jonah",0,"m"
"Jonathan",0,"m"
"Jonte",0,"m"
"Jorin",0,"m"
"Joris",0,"m"
"Joschua",0,"m"
"Josef",0,"m"
"Joshua",0,"m"
