Vorname einzeln,Anzahl,Geschlecht
Leon,13,m
Jonas,11,m
Johann,10,m
Alexander,9,m
Henry,8,m
Jakob,8,m
Karl,8,m
Arthur,7,m
Jonathan,7,m
Oskar,7,m
Aaron,6,m
Alfred,6,m
Anton,6,m
Elias,6,m
Emil,6,m
Friedrich,6,m
Moritz,6,m
Noah,6,m
Theo,6,m
Benjamin,5,m
Felix,5,m
Luca,5,m
Maximilian,5,m
Mika,5,m
Richard,5,m
Theodor,5,m
Franz,4,m
Gregor,4,m
Johan,4,m
Malte,4,m
Matteo,4,m
Simon,4,m
Till,4,m
Vincent,4,m
Adam,3,m
Arvid,3,m
Ben,3,m
Bruno,3,m
Christian,3,m
David,3,m
Erik,3,m
Florian,3,m
Frederik,3,m
Gustav,3,m
Henri,3,m
Jacob,3,m
Jannis,3,m
Janosch,3,m
Johannes,3,m
Joshua,3,m
Julian,3,m
Konrad,3,m
Konstantin,3,m
Leander,3,m
Levi,3,m
Mateo,3,m
Milan,3,m
Nils,3,m
Oscar,3,m
Otto,3,m
Pepe,3,m
Tim,3,m
Toni,3,m
Willi,3,m
Adrian,0,m
Ali,0,m
Anas,0,m
Arno,0,m
Bela,0,m
Bjarne,0,m
Carlo,0,m
Constantin,0,m
Cornelius,0,m
Daniel,0,m
Edgar,0,m
Eduard,0,m
Edwin,0,m
Elian,0,m
Eric,0,m
Fabian,0,m
Ferdinand,0,m
Finn,0,m
Hannes,0,m
John,0,m
Jordi,0,m
Justus,0,m
Leo,0,m
Levin,0,m
Liam,0,m
Linus,0,m
Luis,0,m
Lukas,0,m
Magnus,0,m
Martin,0,m
Mattis,0,m
Merlin,0,m
Nicolas,0,m
Paul,0,m
Philip,0,m
Samuel,0,m
Sebastian,0,m
Tom,0,m
Valentin,0,m
Wilhelm,0,m
William,0,m
Aayan,0,m
Abdallilah,0,m
Abián,0,m
Ace,0,m
Ahmad,0,m
Akram,0,m
Alan,0,m
Albert,0,m
Alon,0,m
Alwin,0,m
Amandus,0,m
Amin,0,m
Amirali,0,m
Aram,0,m
Arik,0,m
Arne,0,m
Artur,0,m
Ashar,0,m
Assil,0,m
Augustin,0,m
Ayoub,0,m
Bastian,0,m
Benedikt,0,m
Benji,0,m
Benno,0,m
Berno,0,m
Bruce,0,m
Carl,0,m
Carlos,0,m
Chad,0,m
Changshuo,0,m
Charlie,0,m
Colin,0,m
Cornelis,0,m
Cristobal,0,m
Damian,0,m
Dante,0,m
Dario,0,m
Darius,0,m
Delsher,0,m
Eleftherios,0,m
Elon,0,m
Emilio,0,m
Emir,0,m
Erion,0,m
Ernst,0,m
Erwin,0,m
Essam,0,m
Eymen,0,m
Ezra,0,m
Faisal,0,m
Feivel,0,m
Fiete,0,m
Filip,0,m
Fintan,0,m
Francesco,0,m
Frederick,0,m
Frido,0,m
Frithjof,0,m
Giuliano,0,m
Hamza,0,m
Hanno,0,m
Hans,0,m
Heinz,0,m
Hennes,0,m
Hugo,0,m
Ian,0,m
Ibrahim,0,m
Ilim,0,m
Ilja,0,m
Jack,0,m
Jackson,0,m
James,0,m
Jamie,0,m
Jan,0,m
Jann,0,m
Jannes,0,m
Jannik,0,m
Jaro,0,m
Jaron,0,m
Jaroslaw,0,m
Jascha,0,m
Jason,0,m
Jelle,0,m
Jenson,0,m
Joel,0,m
Joko,0,m
Jon,0,m
Jona,0,m
Joos,0,m
Jorin,0,m
Joris,0,m
Joscha,0,m
Jost,0,m
Jules,0,m
Julius,0,m
Junias,0,m
Junus,0,m
Jussi,0,m
Kaihan,0,m
Kenneth,0,m
Kevin,0,m
Kiilike,0,m
Kilian,0,m
Kiran,0,m
Klemens,0,m
Kurt,0,m
Laurenz,0,m
Laurin,0,m
Lauritz,0,m
Lennard,0,m
Leonard,0,m
Leonardo,0,m
Leonhard,0,m
Leopold,0,m
Leto,0,m
Levy,0,m
Lino,0,m
Lion,0,m
Lionel,0,m
Lior,0,m
Loggi,0,m
Louie,0,m
Louis,0,m
Ludwig,0,m
Lunas,0,m
Luri,0,m
Malik,0,m
Manar,0,m
Manuel,0,m
Marcel,0,m
Marik,0,m
Mark,0,m
Marvin,0,m
Mats,0,m
Matthias,0,m
Matvej,0,m
Max,0,m
Mayar,0,m
Metin,0,m
Michel,0,m
Michl,0,m
Milo,0,m
Milosz,0,m
Miran,0,m
Miron,0,m
Mohamed,0,m
Mohammad,0,m
Momo,0,m
Nahom,0,m
Nali,0,m
Nathan,0,m
Neo,0,m
Nicke,0,m
Nico,0,m
Niels,0,m
Nikita,0,m
Niklas,0,m
Nilo,0,m
Oliver,0,m
Omar,0,m
Osama,0,m
Otis,0,m
Peer,0,m
Peter,0,m
Phil,0,m
Philias,0,m
Pius,0,m
Qusay,0,m
Rayan,0,m
Robert,0,m
Robin,0,m
Rodi,0,m
Romeo,0,m
Ruben,0,m
Rudi,0,m
Rufus,0,m
Rüzgar,0,m
Saef,0,m
Seraj,0,m
