Vorname einzeln,Anzahl,Geschlecht
Elias,12,m
Paul,12,m
Oskar,10,m
Karl,9,m
Ben,8,m
Emil,8,m
Fritz,8,m
Henry,8,m
Anton,7,m
Jonathan,7,m
Aaron,6,m
Adam,6,m
Arthur,6,m
Jonah,6,m
Matteo,6,m
Noah,6,m
Theodor,6,m
Alexander,5,m
Bruno,5,m
Finn,5,m
Hannes,5,m
Jakob,5,m
Jonas,5,m
Liam,5,m
Edgar,4,m
Felix,4,m
Franz,4,m
Friedrich,4,m
Gustav,4,m
Jan,4,m
Johann,4,m
Leon,4,m
Sebastian,4,m
Till,4,m
Tim,4,m
Adrian,3,m
Alwin,3,m
Armin,3,m
Arno,3,m
Benjamin,3,m
Carl,3,m
Carlo,3,m
David,3,m
Egon,3,m
Ferdinand,3,m
Fynn,3,m
Hugo,3,m
Johannes,3,m
Joshua,3,m
Julian,3,m
Julius,3,m
Karlo,3,m
Levi,3,m
Louis,3,m
Luis,3,m
Mats,3,m
Niklas,3,m
Samuel,3,m
Taim,3,m
Theo,3,m
Timo,3,m
Valentin,3,m
Vincent,3,m
Willi,3,m
+,0,m
Abdullah,0,m
Agasthya,0,m
Ahmad,0,m
Alasar,0,m
Aleksander,0,m
Alessio,0,m
Alex,0,m
Alfred,0,m
Ali,0,m
Alistair,0,m
Alvar,0,m
Amari,0,m
Arian,0,m
Arijun,0,m
Arik,0,m
Arne,0,m
Aron,0,m
Atticus,0,m
Augustin,0,m
Aurel,0,m
Avid,0,m
Bashir,0,m
Battista,0,m
Benedikt,0,m
Benne,0,m
Benni,0,m
Bjarne,0,m
Bo,0,m
Capian,0,m
Caspar,0,m
Chris,0,m
Chrubel,0,m
Cilian,0,m
Collin,0,m
Constantin,0,m
Daniel,0,m
Davien,0,m
Dean,0,m
Deven,0,m
Domenic,0,m
Dominik,0,m
Eddie,0,m
Eddy,0,m
Eden,0,m
Edwin,0,m
Elijah,0,m
Elyas,0,m
Emad,0,m
Emanuel,0,m
Emeric,0,m
Emile,0,m
Enno,0,m
Erich,0,m
Erik,0,m
Fabian,0,m
Fares,0,m
Faro,0,m
Felian,0,m
Femius,0,m
Feodor,0,m
Fiete,0,m
Fietje,0,m
Fjor,0,m
Francis,0,m
Frederik,0,m
Fridtjof,0,m
Gabriel,0,m
Georg,0,m
George,0,m
Hadrian,0,m
Halvar,0,m
Hani,0,m
Hardi,0,m
Hareth,0,m
Heinrich,0,m
Henrik,0,m
Idir,0,m
Jacob,0,m
Jamie,0,m
Janic,0,m
Janne,0,m
Jannek,0,m
Jannes,0,m
Janosch,0,m
Jari,0,m
Jason,0,m
Jaspar,0,m
Jasper,0,m
Jazan,0,m
Johan,0,m
John,0,m
Jona,0,m
Jonar,0,m
Jonte,0,m
Jordy,0,m
Jorik,0,m
Joscha,0,m
Josua,0,m
Juri,0,m
Justus,0,m
Kalle,0,m
Karam,0,m
Keno,0,m
Kevin,0,m
Kilian,0,m
Kinan,0,m
Kito,0,m
Kjell,0,m
Knut,0,m
Kolja,0,m
Konrad,0,m
Konstantin,0,m
Kurt,0,m
Kyell,0,m
Leander,0,m
Leandro,0,m
Lenn,0,m
Lennard,0,m
Lennart,0,m
Lennox,0,m
Leo,0,m
Leonard,0,m
Leonardo,0,m
Leonas,0,m
Leonik,0,m
Leopold,0,m
Linus,0,m
Lio,0,m
Lion,0,m
Lorenz,0,m
Luca,0,m
Lucas,0,m
Ludvig,0,m
Lukas,0,m
Mailo,0,m
Malte,0,m
Marian,0,m
Marius,0,m
Markus,0,m
Marlon,0,m
Marten,0,m
Marwan,0,m
Matheo,0,m
Mattes,0,m
Mattis,0,m
Maverick,0,m
Max,0,m
Maxim,0,m
Maximilian,0,m
Mayank,0,m
Mazen,0,m
